,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist,genre
621,0.203,0.00733,7.0,-36.605,1.0,0.0402,0.959,0.877,0.104,0.0806,62.017,4CBIdJ5o1XyMlkUg4jOHWg,241800.0,4.0,"Andante Spianato & Grande Polonaise Brillante in G Major / E Flat Major, Op. 22: 1. Andante spianato",Fr¨¦d¨¦ric Chopin,classical
622,0.391,0.0939,8.0,-25.725,0.0,0.0531,0.982,0.933,0.107,0.101,127.162,7i9cdG6l1lg0xAraTublsw,142638.0,4.0,"Valse in A Minor, KK IVa, No. 15 (B. 150) (Version for Harp in A Flat Minor)",Fr¨¦d¨¦ric Chopin,classical
623,0.302,0.183,3.0,-14.139,1.0,0.044,0.808,0.0198,0.17,0.111,99.064,65J9Ep6oWjSgyJ8MFChjWl,168013.0,4.0,"Nulla in mundo pax, R.630: 1. Nulla in mundo pax sincera",Antonio Vivaldi,classical
624,0.607,0.323,9.0,-17.426,1.0,0.0416,0.938,0.933,0.274,0.891,117.574,6Ntsj2X8cjYHoG9ykImLsT,188000.0,4.0,"Solomon, HWV 67 / Act 3: Sinfonia ""The Arrival Of The Queen Of Sheba""",George Frideric Handel,classical
625,0.307,0.00229,1.0,-34.977,1.0,0.0519,0.992,0.931,0.098,0.281,67.775,5RWA30VaTsYkFrkzxKL3aK,283280.0,5.0,Luminous,Ludovico Einaudi,classical
626,0.447,0.0159,2.0,-25.612,0.0,0.063,0.995,0.933,0.195,0.107,131.542,1YluEbLfaWBfV2GpQQLOcZ,236467.0,4.0,"Nocturne No. 6 in G Minor, Op. 15 No. 3",Fr¨¦d¨¦ric Chopin,classical
627,0.307,0.036,2.0,-28.755,0.0,0.0522,0.995,0.801,0.0941,0.171,138.26,5Gm2tHCFTzb0vHZfReSr5f,211440.0,3.0,Opus 18 - Silfur Version,Dustin O'Halloran,classical
628,0.447,0.327,4.0,-16.489,1.0,0.0432,0.864,0.0224,0.085,0.565,100.439,0EnEULk14Oso59QtQHVUoC,445624.0,4.0,"Violin Concerto No.2 in E, BWV 1042: 1. Allegro",Johann Sebastian Bach,classical
629,0.0745,0.00696,3.0,-39.507,1.0,0.0434,0.994,0.915,0.071,0.0846,213.087,2XYEu7Deyz20WeL6Py3XLc,464453.0,3.0,Glassworks: Opening,Philip Glass,classical
630,0.225,0.0486,3.0,-25.253,1.0,0.0609,0.873,0.0292,0.096,0.0695,98.763,1fWeZQfdmAoi3HWpHcn4tM,232680.0,5.0,"Souvenir d'un lieu cher, Op.42: 3. M¨¦lodie",Pyotr Ilyich Tchaikovsky,classical
